tasa de aprendizaje no especificada se estable ce en 0.1000
train no especficado se estable ce en 0.6500
train no especficado se establece en 0.3500
etapa 40600 0.00002654 ecm:0.0000
etapa 40700 0.00002647 ecm:0.0000
etapa 40800 0.00002641 ecm:0.0000
etapa 40900 0.00002634 ecm:0.0000
etapa 41000 0.00002628 ecm:0.0000
etapa 41100 0.00002621 ecm:0.0000
etapa 41200 0.00002615 ecm:0.0000
etapa 41300 0.00002608 ecm:0.0000
etapa 41400 0.00002602 ecm:0.0000
etapa 41500 0.00002596 ecm:0.0000
etapa 41600 0.00002589 ecm:0.0000
etapa 41700 0.00002583 ecm:0.0000
etapa 41800 0.00002577 ecm:0.0000
etapa 41900 0.00002571 ecm:0.0000
etapa 42000 0.00002564 ecm:0.0000
etapa 42100 0.00002558 ecm:0.0000
etapa 42200 0.00002552 ecm:0.0000
etapa 42300 0.00002546 ecm:0.0000
etapa 42400 0.00002540 ecm:0.0000
etapa 42500 0.00002534 ecm:0.0000
etapa 42600 0.00002528 ecm:0.0000
etapa 42700 0.00002522 ecm:0.0000
etapa 42800 0.00002516 ecm:0.0000
etapa 42900 0.00002510 ecm:0.0000
etapa 43000 0.00002504 ecm:0.0000
etapa 43100 0.00002498 ecm:0.0000
etapa 43200 0.00002492 ecm:0.0000
etapa 43300 0.00002486 ecm:0.0000
etapa 43400 0.00002480 ecm:0.0000
etapa 43500 0.00002475 ecm:0.0000
etapa 43600 0.00002469 ecm:0.0000
etapa 43700 0.00002463 ecm:0.0000
etapa 43800 0.00002458 ecm:0.0000
etapa 43900 0.00002452 ecm:0.0000
etapa 44000 0.00002446 ecm:0.0000
etapa 44100 0.00002441 ecm:0.0000
etapa 44200 0.00002435 ecm:0.0000
etapa 44300 0.00002429 ecm:0.0000
etapa 44400 0.00002424 ecm:0.0000
etapa 44500 0.00002418 ecm:0.0000
etapa 44600 0.00002413 ecm:0.0000
etapa 44700 0.00002407 ecm:0.0000
etapa 44800 0.00002402 ecm:0.0000
etapa 44900 0.00002397 ecm:0.0000
etapa 45000 0.00002391 ecm:0.0000
etapa 45100 0.00002386 ecm:0.0000
etapa 45200 0.00002380 ecm:0.0000
etapa 45300 0.00002375 ecm:0.0000
etapa 45400 0.00002370 ecm:0.0000
etapa 45500 0.00002364 ecm:0.0000
etapa 45600 0.00002359 ecm:0.0000
etapa 45700 0.00002354 ecm:0.0000
etapa 45800 0.00002349 ecm:0.0000
etapa 45900 0.00002344 ecm:0.0000
etapa 46000 0.00002338 ecm:0.0000
etapa 46100 0.00002333 ecm:0.0000
etapa 46200 0.00002328 ecm:0.0000
etapa 46300 0.00002323 ecm:0.0000
etapa 46400 0.00002318 ecm:0.0000
etapa 46500 0.00002313 ecm:0.0000
etapa 46600 0.00002308 ecm:0.0000
etapa 46700 0.00002303 ecm:0.0000
etapa 46800 0.00002298 ecm:0.0000
etapa 46900 0.00002293 ecm:0.0000
etapa 47000 0.00002288 ecm:0.0000
etapa 47100 0.00002283 ecm:0.0000
etapa 47200 0.00002278 ecm:0.0000
etapa 47300 0.00002273 ecm:0.0000
etapa 47400 0.00002268 ecm:0.0000
etapa 47500 0.00002264 ecm:0.0000
etapa 47600 0.00002259 ecm:0.0000
etapa 47700 0.00002254 ecm:0.0000
etapa 47800 0.00002249 ecm:0.0000
etapa 47900 0.00002244 ecm:0.0000
etapa 48000 0.00002240 ecm:0.0000
etapa 48100 0.00002235 ecm:0.0000
etapa 48200 0.00002230 ecm:0.0000
etapa 48300 0.00002226 ecm:0.0000
etapa 48400 0.00002221 ecm:0.0000
etapa 48500 0.00002216 ecm:0.0000
etapa 48600 0.00002212 ecm:0.0000
etapa 48700 0.00002207 ecm:0.0000
etapa 48800 0.00002202 ecm:0.0000
etapa 48900 0.00002198 ecm:0.0000
etapa 49000 0.00002193 ecm:0.0000
etapa 49100 0.00002189 ecm:0.0000
etapa 49200 0.00002184 ecm:0.0000
etapa 49300 0.00002180 ecm:0.0000
etapa 49400 0.00002175 ecm:0.0000
etapa 49500 0.00002171 ecm:0.0000
etapa 49600 0.00002167 ecm:0.0000
etapa 49700 0.00002162 ecm:0.0000
etapa 49800 0.00002158 ecm:0.0000
etapa 49900 0.00002153 ecm:0.0000
etapa 50000 0.00002149 ecm:0.0000
etapa 50100 0.00002145 ecm:0.0000
etapa 50200 0.00002140 ecm:0.0000
etapa 50300 0.00002136 ecm:0.0000
etapa 50400 0.00002132 ecm:0.0000
etapa 50500 0.00002127 ecm:0.0000
etapa 50600 0.00002123 ecm:0.0000
etapa 50700 0.00002119 ecm:0.0000
etapa 50800 0.00002115 ecm:0.0000
etapa 50900 0.00002110 ecm:0.0000
etapa 51000 0.00002106 ecm:0.0000
etapa 51100 0.00002102 ecm:0.0000
etapa 51200 0.00002098 ecm:0.0000
etapa 51300 0.00002094 ecm:0.0000
etapa 51400 0.00002090 ecm:0.0000
etapa 51500 0.00002086 ecm:0.0000
etapa 51600 0.00002081 ecm:0.0000
etapa 51700 0.00002077 ecm:0.0000
etapa 51800 0.00002073 ecm:0.0000
etapa 51900 0.00002069 ecm:0.0000
etapa 52000 0.00002065 ecm:0.0000
etapa 52100 0.00002061 ecm:0.0000
etapa 52200 0.00002057 ecm:0.0000
etapa 52300 0.00002053 ecm:0.0000
etapa 52400 0.00002049 ecm:0.0000
etapa 52500 0.00002045 ecm:0.0000
etapa 52600 0.00002041 ecm:0.0000
etapa 52700 0.00002037 ecm:0.0000
etapa 52800 0.00002034 ecm:0.0000
etapa 52900 0.00002030 ecm:0.0000
etapa 53000 0.00002026 ecm:0.0000
etapa 53100 0.00002022 ecm:0.0000
etapa 53200 0.00002018 ecm:0.0000
etapa 53300 0.00002014 ecm:0.0000
etapa 53400 0.00002010 ecm:0.0000
etapa 53500 0.00002007 ecm:0.0000
etapa 53600 0.00002003 ecm:0.0000
etapa 53700 0.00001999 ecm:0.0000
etapa 53800 0.00001995 ecm:0.0000
etapa 53900 0.00001991 ecm:0.0000
etapa 54000 0.00001988 ecm:0.0000
etapa 54100 0.00001984 ecm:0.0000
