tasa de aprendizaje no especificada se estable ce en 0.1000
train no especficado se estable ce en 0.6500
train no especficado se establece en 0.3500
etapa 4718300 0.00000022 ecm:0.0000
etapa 4718400 0.00000022 ecm:0.0000
etapa 4718500 0.00000022 ecm:0.0000
etapa 4718600 0.00000022 ecm:0.0000
etapa 4718700 0.00000022 ecm:0.0000
etapa 4718800 0.00000022 ecm:0.0000
etapa 4718900 0.00000022 ecm:0.0000
etapa 4719000 0.00000022 ecm:0.0000
etapa 4719100 0.00000022 ecm:0.0000
etapa 4719200 0.00000022 ecm:0.0000
etapa 4719300 0.00000022 ecm:0.0000
etapa 4719400 0.00000022 ecm:0.0000
etapa 4719500 0.00000022 ecm:0.0000
etapa 4719600 0.00000022 ecm:0.0000
etapa 4719700 0.00000022 ecm:0.0000
etapa 4719800 0.00000022 ecm:0.0000
etapa 4719900 0.00000022 ecm:0.0000
etapa 4720000 0.00000022 ecm:0.0000
etapa 4720100 0.00000022 ecm:0.0000
etapa 4720200 0.00000022 ecm:0.0000
etapa 4720300 0.00000022 ecm:0.0000
etapa 4720400 0.00000022 ecm:0.0000
etapa 4720500 0.00000022 ecm:0.0000
etapa 4720600 0.00000022 ecm:0.0000
etapa 4720700 0.00000022 ecm:0.0000
etapa 4720800 0.00000022 ecm:0.0000
etapa 4720900 0.00000022 ecm:0.0000
etapa 4721000 0.00000022 ecm:0.0000
etapa 4721100 0.00000022 ecm:0.0000
etapa 4721200 0.00000022 ecm:0.0000
etapa 4721300 0.00000022 ecm:0.0000
etapa 4721400 0.00000022 ecm:0.0000
etapa 4721500 0.00000022 ecm:0.0000
etapa 4721600 0.00000022 ecm:0.0000
etapa 4721700 0.00000022 ecm:0.0000
etapa 4721800 0.00000022 ecm:0.0000
etapa 4721900 0.00000022 ecm:0.0000
etapa 4722000 0.00000022 ecm:0.0000
etapa 4722100 0.00000022 ecm:0.0000
etapa 4722200 0.00000022 ecm:0.0000
etapa 4722300 0.00000022 ecm:0.0000
etapa 4722400 0.00000022 ecm:0.0000
etapa 4722500 0.00000022 ecm:0.0000
etapa 4722600 0.00000022 ecm:0.0000
etapa 4722700 0.00000022 ecm:0.0000
etapa 4722800 0.00000022 ecm:0.0000
etapa 4722900 0.00000022 ecm:0.0000
etapa 4723000 0.00000022 ecm:0.0000
etapa 4723100 0.00000022 ecm:0.0000
etapa 4723200 0.00000022 ecm:0.0000
etapa 4723300 0.00000022 ecm:0.0000
etapa 4723400 0.00000022 ecm:0.0000
etapa 4723500 0.00000022 ecm:0.0000
etapa 4723600 0.00000022 ecm:0.0000
etapa 4723700 0.00000022 ecm:0.0000
etapa 4723800 0.00000022 ecm:0.0000
etapa 4723900 0.00000022 ecm:0.0000
etapa 4724000 0.00000022 ecm:0.0000
etapa 4724100 0.00000022 ecm:0.0000
etapa 4724200 0.00000022 ecm:0.0000
etapa 4724300 0.00000022 ecm:0.0000
etapa 4724400 0.00000022 ecm:0.0000
etapa 4724500 0.00000022 ecm:0.0000
etapa 4724600 0.00000022 ecm:0.0000
etapa 4724700 0.00000022 ecm:0.0000
etapa 4724800 0.00000022 ecm:0.0000
etapa 4724900 0.00000022 ecm:0.0000
etapa 4725000 0.00000022 ecm:0.0000
etapa 4725100 0.00000022 ecm:0.0000
etapa 4725200 0.00000022 ecm:0.0000
etapa 4725300 0.00000022 ecm:0.0000
etapa 4725400 0.00000022 ecm:0.0000
etapa 4725500 0.00000022 ecm:0.0000
etapa 4725600 0.00000022 ecm:0.0000
etapa 4725700 0.00000022 ecm:0.0000
etapa 4725800 0.00000022 ecm:0.0000
etapa 4725900 0.00000022 ecm:0.0000
etapa 4726000 0.00000022 ecm:0.0000
etapa 4726100 0.00000022 ecm:0.0000
etapa 4726200 0.00000022 ecm:0.0000
etapa 4726300 0.00000022 ecm:0.0000
etapa 4726400 0.00000022 ecm:0.0000
etapa 4726500 0.00000022 ecm:0.0000
etapa 4726600 0.00000022 ecm:0.0000
etapa 4726700 0.00000022 ecm:0.0000
etapa 4726800 0.00000022 ecm:0.0000
etapa 4726900 0.00000022 ecm:0.0000
etapa 4727000 0.00000022 ecm:0.0000
etapa 4727100 0.00000022 ecm:0.0000
etapa 4727200 0.00000022 ecm:0.0000
etapa 4727300 0.00000022 ecm:0.0000
etapa 4727400 0.00000022 ecm:0.0000
etapa 4727500 0.00000022 ecm:0.0000
etapa 4727600 0.00000022 ecm:0.0000
etapa 4727700 0.00000022 ecm:0.0000
etapa 4727800 0.00000022 ecm:0.0000
etapa 4727900 0.00000022 ecm:0.0000
etapa 4728000 0.00000022 ecm:0.0000
etapa 4728100 0.00000022 ecm:0.0000
etapa 4728200 0.00000022 ecm:0.0000
etapa 4728300 0.00000022 ecm:0.0000
etapa 4728400 0.00000022 ecm:0.0000
etapa 4728500 0.00000022 ecm:0.0000
etapa 4728600 0.00000022 ecm:0.0000
etapa 4728700 0.00000022 ecm:0.0000
etapa 4728800 0.00000022 ecm:0.0000
etapa 4728900 0.00000022 ecm:0.0000
etapa 4729000 0.00000022 ecm:0.0000
etapa 4729100 0.00000022 ecm:0.0000
etapa 4729200 0.00000022 ecm:0.0000
etapa 4729300 0.00000022 ecm:0.0000
etapa 4729400 0.00000022 ecm:0.0000
etapa 4729500 0.00000022 ecm:0.0000
etapa 4729600 0.00000022 ecm:0.0000
etapa 4729700 0.00000022 ecm:0.0000
etapa 4729800 0.00000022 ecm:0.0000
etapa 4729900 0.00000022 ecm:0.0000
etapa 4730000 0.00000022 ecm:0.0000
etapa 4730100 0.00000022 ecm:0.0000
etapa 4730200 0.00000022 ecm:0.0000
etapa 4730300 0.00000022 ecm:0.0000
etapa 4730400 0.00000022 ecm:0.0000
etapa 4730500 0.00000022 ecm:0.0000
etapa 4730600 0.00000022 ecm:0.0000
etapa 4730700 0.00000022 ecm:0.0000
etapa 4730800 0.00000022 ecm:0.0000
etapa 4730900 0.00000022 ecm:0.0000
etapa 4731000 0.00000022 ecm:0.0000
etapa 4731100 0.00000022 ecm:0.0000
etapa 4731200 0.00000022 ecm:0.0000
etapa 4731300 0.00000022 ecm:0.0000
etapa 4731400 0.00000022 ecm:0.0000
etapa 4731500 0.00000022 ecm:0.0000
etapa 4731600 0.00000022 ecm:0.0000
etapa 4731700 0.00000022 ecm:0.0000
etapa 4731800 0.00000022 ecm:0.0000
etapa 4731900 0.00000022 ecm:0.0000
etapa 4732000 0.00000022 ecm:0.0000
etapa 4732100 0.00000022 ecm:0.0000
etapa 4732200 0.00000022 ecm:0.0000
etapa 4732300 0.00000022 ecm:0.0000
etapa 4732400 0.00000022 ecm:0.0000
etapa 4732500 0.00000022 ecm:0.0000
etapa 4732600 0.00000022 ecm:0.0000
etapa 4732700 0.00000022 ecm:0.0000
etapa 4732800 0.00000022 ecm:0.0000
etapa 4732900 0.00000022 ecm:0.0000
etapa 4733000 0.00000022 ecm:0.0000
etapa 4733100 0.00000022 ecm:0.0000
etapa 4733200 0.00000022 ecm:0.0000
etapa 4733300 0.00000022 ecm:0.0000
etapa 4733400 0.00000022 ecm:0.0000
etapa 4733500 0.00000022 ecm:0.0000
etapa 4733600 0.00000022 ecm:0.0000
etapa 4733700 0.00000022 ecm:0.0000
etapa 4733800 0.00000022 ecm:0.0000
etapa 4733900 0.00000022 ecm:0.0000
etapa 4734000 0.00000022 ecm:0.0000
etapa 4734100 0.00000022 ecm:0.0000
etapa 4734200 0.00000022 ecm:0.0000
etapa 4734300 0.00000022 ecm:0.0000
etapa 4734400 0.00000022 ecm:0.0000
etapa 4734500 0.00000022 ecm:0.0000
etapa 4734600 0.00000022 ecm:0.0000
etapa 4734700 0.00000022 ecm:0.0000
etapa 4734800 0.00000022 ecm:0.0000
etapa 4734900 0.00000022 ecm:0.0000
etapa 4735000 0.00000022 ecm:0.0000
etapa 4735100 0.00000022 ecm:0.0000
etapa 4735200 0.00000022 ecm:0.0000
etapa 4735300 0.00000022 ecm:0.0000
etapa 4735400 0.00000022 ecm:0.0000
etapa 4735500 0.00000022 ecm:0.0000
etapa 4735600 0.00000022 ecm:0.0000
etapa 4735700 0.00000022 ecm:0.0000
etapa 4735800 0.00000022 ecm:0.0000
etapa 4735900 0.00000022 ecm:0.0000
etapa 4736000 0.00000022 ecm:0.0000
etapa 4736100 0.00000022 ecm:0.0000
etapa 4736200 0.00000022 ecm:0.0000
etapa 4736300 0.00000022 ecm:0.0000
etapa 4736400 0.00000022 ecm:0.0000
etapa 4736500 0.00000022 ecm:0.0000
etapa 4736600 0.00000022 ecm:0.0000
etapa 4736700 0.00000022 ecm:0.0000
etapa 4736800 0.00000022 ecm:0.0000
etapa 4736900 0.00000022 ecm:0.0000
etapa 4737000 0.00000022 ecm:0.0000
etapa 4737100 0.00000022 ecm:0.0000
etapa 4737200 0.00000022 ecm:0.0000
etapa 4737300 0.00000022 ecm:0.0000
etapa 4737400 0.00000022 ecm:0.0000
etapa 4737500 0.00000022 ecm:0.0000
etapa 4737600 0.00000022 ecm:0.0000
etapa 4737700 0.00000022 ecm:0.0000
etapa 4737800 0.00000022 ecm:0.0000
etapa 4737900 0.00000022 ecm:0.0000
etapa 4738000 0.00000022 ecm:0.0000
etapa 4738100 0.00000022 ecm:0.0000
etapa 4738200 0.00000022 ecm:0.0000
etapa 4738300 0.00000022 ecm:0.0000
etapa 4738400 0.00000022 ecm:0.0000
etapa 4738500 0.00000022 ecm:0.0000
etapa 4738600 0.00000022 ecm:0.0000
etapa 4738700 0.00000022 ecm:0.0000
etapa 4738800 0.00000022 ecm:0.0000
etapa 4738900 0.00000022 ecm:0.0000
etapa 4739000 0.00000022 ecm:0.0000
etapa 4739100 0.00000022 ecm:0.0000
etapa 4739200 0.00000022 ecm:0.0000
etapa 4739300 0.00000022 ecm:0.0000
etapa 4739400 0.00000022 ecm:0.0000
etapa 4739500 0.00000022 ecm:0.0000
etapa 4739600 0.00000022 ecm:0.0000
etapa 4739700 0.00000022 ecm:0.0000
etapa 4739800 0.00000022 ecm:0.0000
etapa 4739900 0.00000022 ecm:0.0000
etapa 4740000 0.00000022 ecm:0.0000
etapa 4740100 0.00000022 ecm:0.0000
etapa 4740200 0.00000022 ecm:0.0000
etapa 4740300 0.00000022 ecm:0.0000
etapa 4740400 0.00000022 ecm:0.0000
etapa 4740500 0.00000022 ecm:0.0000
etapa 4740600 0.00000022 ecm:0.0000
etapa 4740700 0.00000022 ecm:0.0000
etapa 4740800 0.00000022 ecm:0.0000
etapa 4740900 0.00000022 ecm:0.0000
etapa 4741000 0.00000022 ecm:0.0000
etapa 4741100 0.00000022 ecm:0.0000
etapa 4741200 0.00000022 ecm:0.0000
etapa 4741300 0.00000022 ecm:0.0000
etapa 4741400 0.00000022 ecm:0.0000
etapa 4741500 0.00000022 ecm:0.0000
etapa 4741600 0.00000022 ecm:0.0000
etapa 4741700 0.00000022 ecm:0.0000
etapa 4741800 0.00000022 ecm:0.0000
etapa 4741900 0.00000022 ecm:0.0000
etapa 4742000 0.00000022 ecm:0.0000
etapa 4742100 0.00000022 ecm:0.0000
etapa 4742200 0.00000022 ecm:0.0000
etapa 4742300 0.00000022 ecm:0.0000
etapa 4742400 0.00000022 ecm:0.0000
etapa 4742500 0.00000022 ecm:0.0000
etapa 4742600 0.00000022 ecm:0.0000
etapa 4742700 0.00000022 ecm:0.0000
etapa 4742800 0.00000022 ecm:0.0000
etapa 4742900 0.00000022 ecm:0.0000
etapa 4743000 0.00000022 ecm:0.0000
etapa 4743100 0.00000022 ecm:0.0000
etapa 4743200 0.00000022 ecm:0.0000
etapa 4743300 0.00000022 ecm:0.0000
etapa 4743400 0.00000022 ecm:0.0000
etapa 4743500 0.00000022 ecm:0.0000
etapa 4743600 0.00000022 ecm:0.0000
etapa 4743700 0.00000022 ecm:0.0000
etapa 4743800 0.00000022 ecm:0.0000
etapa 4743900 0.00000022 ecm:0.0000
etapa 4744000 0.00000022 ecm:0.0000
etapa 4744100 0.00000022 ecm:0.0000
etapa 4744200 0.00000022 ecm:0.0000
etapa 4744300 0.00000022 ecm:0.0000
etapa 4744400 0.00000022 ecm:0.0000
etapa 4744500 0.00000022 ecm:0.0000
etapa 4744600 0.00000022 ecm:0.0000
etapa 4744700 0.00000022 ecm:0.0000
etapa 4744800 0.00000022 ecm:0.0000
etapa 4744900 0.00000022 ecm:0.0000
etapa 4745000 0.00000022 ecm:0.0000
etapa 4745100 0.00000022 ecm:0.0000
etapa 4745200 0.00000022 ecm:0.0000
etapa 4745300 0.00000022 ecm:0.0000
etapa 4745400 0.00000022 ecm:0.0000
etapa 4745500 0.00000022 ecm:0.0000
etapa 4745600 0.00000022 ecm:0.0000
etapa 4745700 0.00000022 ecm:0.0000
etapa 4745800 0.00000022 ecm:0.0000
etapa 4745900 0.00000022 ecm:0.0000
etapa 4746000 0.00000022 ecm:0.0000
etapa 4746100 0.00000022 ecm:0.0000
etapa 4746200 0.00000022 ecm:0.0000
etapa 4746300 0.00000022 ecm:0.0000
etapa 4746400 0.00000022 ecm:0.0000
etapa 4746500 0.00000022 ecm:0.0000
etapa 4746600 0.00000022 ecm:0.0000
etapa 4746700 0.00000022 ecm:0.0000
etapa 4746800 0.00000022 ecm:0.0000
etapa 4746900 0.00000022 ecm:0.0000
etapa 4747000 0.00000022 ecm:0.0000
etapa 4747100 0.00000022 ecm:0.0000
etapa 4747200 0.00000022 ecm:0.0000
etapa 4747300 0.00000022 ecm:0.0000
etapa 4747400 0.00000022 ecm:0.0000
etapa 4747500 0.00000022 ecm:0.0000
etapa 4747600 0.00000022 ecm:0.0000
etapa 4747700 0.00000022 ecm:0.0000
etapa 4747800 0.00000022 ecm:0.0000
etapa 4747900 0.00000022 ecm:0.0000
etapa 4748000 0.00000022 ecm:0.0000
etapa 4748100 0.00000022 ecm:0.0000
etapa 4748200 0.00000022 ecm:0.0000
etapa 4748300 0.00000022 ecm:0.0000
etapa 4748400 0.00000022 ecm:0.0000
etapa 4748500 0.00000022 ecm:0.0000
etapa 4748600 0.00000022 ecm:0.0000
etapa 4748700 0.00000022 ecm:0.0000
etapa 4748800 0.00000022 ecm:0.0000
etapa 4748900 0.00000022 ecm:0.0000
etapa 4749000 0.00000022 ecm:0.0000
etapa 4749100 0.00000022 ecm:0.0000
etapa 4749200 0.00000022 ecm:0.0000
etapa 4749300 0.00000022 ecm:0.0000
etapa 4749400 0.00000022 ecm:0.0000
etapa 4749500 0.00000022 ecm:0.0000
etapa 4749600 0.00000022 ecm:0.0000
etapa 4749700 0.00000022 ecm:0.0000
etapa 4749800 0.00000022 ecm:0.0000
etapa 4749900 0.00000022 ecm:0.0000
etapa 4750000 0.00000022 ecm:0.0000
etapa 4750100 0.00000022 ecm:0.0000
etapa 4750200 0.00000022 ecm:0.0000
etapa 4750300 0.00000022 ecm:0.0000
etapa 4750400 0.00000022 ecm:0.0000
etapa 4750500 0.00000022 ecm:0.0000
etapa 4750600 0.00000022 ecm:0.0000
etapa 4750700 0.00000022 ecm:0.0000
etapa 4750800 0.00000022 ecm:0.0000
etapa 4750900 0.00000022 ecm:0.0000
etapa 4751000 0.00000022 ecm:0.0000
etapa 4751100 0.00000022 ecm:0.0000
etapa 4751200 0.00000022 ecm:0.0000
etapa 4751300 0.00000022 ecm:0.0000
etapa 4751400 0.00000022 ecm:0.0000
etapa 4751500 0.00000022 ecm:0.0000
etapa 4751600 0.00000022 ecm:0.0000
etapa 4751700 0.00000022 ecm:0.0000
etapa 4751800 0.00000022 ecm:0.0000
etapa 4751900 0.00000022 ecm:0.0000
etapa 4752000 0.00000022 ecm:0.0000
etapa 4752100 0.00000022 ecm:0.0000
etapa 4752200 0.00000022 ecm:0.0000
etapa 4752300 0.00000022 ecm:0.0000
etapa 4752400 0.00000022 ecm:0.0000
etapa 4752500 0.00000022 ecm:0.0000
etapa 4752600 0.00000022 ecm:0.0000
etapa 4752700 0.00000022 ecm:0.0000
etapa 4752800 0.00000022 ecm:0.0000
etapa 4752900 0.00000022 ecm:0.0000
etapa 4753000 0.00000022 ecm:0.0000
etapa 4753100 0.00000022 ecm:0.0000
etapa 4753200 0.00000022 ecm:0.0000
etapa 4753300 0.00000022 ecm:0.0000
etapa 4753400 0.00000022 ecm:0.0000
etapa 4753500 0.00000022 ecm:0.0000
etapa 4753600 0.00000022 ecm:0.0000
etapa 4753700 0.00000022 ecm:0.0000
etapa 4753800 0.00000022 ecm:0.0000
etapa 4753900 0.00000022 ecm:0.0000
etapa 4754000 0.00000022 ecm:0.0000
etapa 4754100 0.00000022 ecm:0.0000
etapa 4754200 0.00000022 ecm:0.0000
etapa 4754300 0.00000022 ecm:0.0000
etapa 4754400 0.00000022 ecm:0.0000
etapa 4754500 0.00000022 ecm:0.0000
etapa 4754600 0.00000022 ecm:0.0000
etapa 4754700 0.00000022 ecm:0.0000
etapa 4754800 0.00000022 ecm:0.0000
etapa 4754900 0.00000022 ecm:0.0000
etapa 4755000 0.00000022 ecm:0.0000
etapa 4755100 0.00000022 ecm:0.0000
etapa 4755200 0.00000022 ecm:0.0000
etapa 4755300 0.00000022 ecm:0.0000
etapa 4755400 0.00000022 ecm:0.0000
etapa 4755500 0.00000022 ecm:0.0000
etapa 4755600 0.00000022 ecm:0.0000
etapa 4755700 0.00000022 ecm:0.0000
etapa 4755800 0.00000022 ecm:0.0000
etapa 4755900 0.00000022 ecm:0.0000
etapa 4756000 0.00000022 ecm:0.0000
etapa 4756100 0.00000022 ecm:0.0000
etapa 4756200 0.00000022 ecm:0.0000
etapa 4756300 0.00000022 ecm:0.0000
etapa 4756400 0.00000022 ecm:0.0000
etapa 4756500 0.00000022 ecm:0.0000
etapa 4756600 0.00000022 ecm:0.0000
etapa 4756700 0.00000022 ecm:0.0000
etapa 4756800 0.00000022 ecm:0.0000
etapa 4756900 0.00000022 ecm:0.0000
etapa 4757000 0.00000022 ecm:0.0000
etapa 4757100 0.00000022 ecm:0.0000
etapa 4757200 0.00000022 ecm:0.0000
etapa 4757300 0.00000022 ecm:0.0000
etapa 4757400 0.00000022 ecm:0.0000
etapa 4757500 0.00000022 ecm:0.0000
etapa 4757600 0.00000022 ecm:0.0000
etapa 4757700 0.00000022 ecm:0.0000
etapa 4757800 0.00000022 ecm:0.0000
etapa 4757900 0.00000022 ecm:0.0000
etapa 4758000 0.00000022 ecm:0.0000
etapa 4758100 0.00000022 ecm:0.0000
etapa 4758200 0.00000022 ecm:0.0000
etapa 4758300 0.00000022 ecm:0.0000
etapa 4758400 0.00000022 ecm:0.0000
etapa 4758500 0.00000022 ecm:0.0000
etapa 4758600 0.00000022 ecm:0.0000
etapa 4758700 0.00000022 ecm:0.0000
etapa 4758800 0.00000022 ecm:0.0000
etapa 4758900 0.00000022 ecm:0.0000
etapa 4759000 0.00000022 ecm:0.0000
etapa 4759100 0.00000022 ecm:0.0000
etapa 4759200 0.00000022 ecm:0.0000
etapa 4759300 0.00000022 ecm:0.0000
etapa 4759400 0.00000022 ecm:0.0000
etapa 4759500 0.00000022 ecm:0.0000
etapa 4759600 0.00000022 ecm:0.0000
etapa 4759700 0.00000022 ecm:0.0000
etapa 4759800 0.00000022 ecm:0.0000
etapa 4759900 0.00000022 ecm:0.0000
etapa 4760000 0.00000022 ecm:0.0000
etapa 4760100 0.00000022 ecm:0.0000
etapa 4760200 0.00000022 ecm:0.0000
etapa 4760300 0.00000022 ecm:0.0000
etapa 4760400 0.00000022 ecm:0.0000
etapa 4760500 0.00000022 ecm:0.0000
etapa 4760600 0.00000022 ecm:0.0000
etapa 4760700 0.00000022 ecm:0.0000
etapa 4760800 0.00000022 ecm:0.0000
etapa 4760900 0.00000022 ecm:0.0000
etapa 4761000 0.00000022 ecm:0.0000
etapa 4761100 0.00000022 ecm:0.0000
etapa 4761200 0.00000022 ecm:0.0000
etapa 4761300 0.00000022 ecm:0.0000
etapa 4761400 0.00000022 ecm:0.0000
etapa 4761500 0.00000022 ecm:0.0000
etapa 4761600 0.00000022 ecm:0.0000
etapa 4761700 0.00000022 ecm:0.0000
etapa 4761800 0.00000022 ecm:0.0000
etapa 4761900 0.00000022 ecm:0.0000
etapa 4762000 0.00000022 ecm:0.0000
etapa 4762100 0.00000022 ecm:0.0000
etapa 4762200 0.00000022 ecm:0.0000
etapa 4762300 0.00000022 ecm:0.0000
etapa 4762400 0.00000022 ecm:0.0000
etapa 4762500 0.00000022 ecm:0.0000
etapa 4762600 0.00000022 ecm:0.0000
etapa 4762700 0.00000022 ecm:0.0000
etapa 4762800 0.00000022 ecm:0.0000
etapa 4762900 0.00000022 ecm:0.0000
etapa 4763000 0.00000022 ecm:0.0000
etapa 4763100 0.00000022 ecm:0.0000
etapa 4763200 0.00000022 ecm:0.0000
etapa 4763300 0.00000022 ecm:0.0000
etapa 4763400 0.00000022 ecm:0.0000
etapa 4763500 0.00000022 ecm:0.0000
etapa 4763600 0.00000022 ecm:0.0000
etapa 4763700 0.00000022 ecm:0.0000
etapa 4763800 0.00000022 ecm:0.0000
etapa 4763900 0.00000022 ecm:0.0000
etapa 4764000 0.00000022 ecm:0.0000
etapa 4764100 0.00000022 ecm:0.0000
etapa 4764200 0.00000022 ecm:0.0000
etapa 4764300 0.00000022 ecm:0.0000
etapa 4764400 0.00000022 ecm:0.0000
etapa 4764500 0.00000022 ecm:0.0000
etapa 4764600 0.00000022 ecm:0.0000
etapa 4764700 0.00000022 ecm:0.0000
etapa 4764800 0.00000022 ecm:0.0000
etapa 4764900 0.00000022 ecm:0.0000
etapa 4765000 0.00000022 ecm:0.0000
etapa 4765100 0.00000022 ecm:0.0000
etapa 4765200 0.00000022 ecm:0.0000
etapa 4765300 0.00000022 ecm:0.0000
etapa 4765400 0.00000022 ecm:0.0000
etapa 4765500 0.00000022 ecm:0.0000
etapa 4765600 0.00000022 ecm:0.0000
etapa 4765700 0.00000022 ecm:0.0000
etapa 4765800 0.00000022 ecm:0.0000
etapa 4765900 0.00000022 ecm:0.0000
etapa 4766000 0.00000022 ecm:0.0000
etapa 4766100 0.00000022 ecm:0.0000
etapa 4766200 0.00000022 ecm:0.0000
etapa 4766300 0.00000022 ecm:0.0000
etapa 4766400 0.00000022 ecm:0.0000
etapa 4766500 0.00000022 ecm:0.0000
etapa 4766600 0.00000022 ecm:0.0000
etapa 4766700 0.00000022 ecm:0.0000
etapa 4766800 0.00000022 ecm:0.0000
etapa 4766900 0.00000022 ecm:0.0000
etapa 4767000 0.00000022 ecm:0.0000
etapa 4767100 0.00000022 ecm:0.0000
etapa 4767200 0.00000022 ecm:0.0000
etapa 4767300 0.00000022 ecm:0.0000
etapa 4767400 0.00000022 ecm:0.0000
etapa 4767500 0.00000022 ecm:0.0000
etapa 4767600 0.00000022 ecm:0.0000
etapa 4767700 0.00000022 ecm:0.0000
etapa 4767800 0.00000022 ecm:0.0000
etapa 4767900 0.00000022 ecm:0.0000
etapa 4768000 0.00000022 ecm:0.0000
etapa 4768100 0.00000022 ecm:0.0000
etapa 4768200 0.00000022 ecm:0.0000
etapa 4768300 0.00000022 ecm:0.0000
etapa 4768400 0.00000022 ecm:0.0000
etapa 4768500 0.00000022 ecm:0.0000
etapa 4768600 0.00000022 ecm:0.0000
etapa 4768700 0.00000022 ecm:0.0000
etapa 4768800 0.00000022 ecm:0.0000
etapa 4768900 0.00000022 ecm:0.0000
etapa 4769000 0.00000022 ecm:0.0000
etapa 4769100 0.00000022 ecm:0.0000
etapa 4769200 0.00000022 ecm:0.0000
etapa 4769300 0.00000022 ecm:0.0000
etapa 4769400 0.00000022 ecm:0.0000
etapa 4769500 0.00000022 ecm:0.0000
etapa 4769600 0.00000022 ecm:0.0000
etapa 4769700 0.00000022 ecm:0.0000
etapa 4769800 0.00000022 ecm:0.0000
etapa 4769900 0.00000022 ecm:0.0000
etapa 4770000 0.00000022 ecm:0.0000
etapa 4770100 0.00000022 ecm:0.0000
etapa 4770200 0.00000022 ecm:0.0000
etapa 4770300 0.00000022 ecm:0.0000
etapa 4770400 0.00000022 ecm:0.0000
etapa 4770500 0.00000022 ecm:0.0000
etapa 4770600 0.00000022 ecm:0.0000
etapa 4770700 0.00000022 ecm:0.0000
etapa 4770800 0.00000022 ecm:0.0000
etapa 4770900 0.00000022 ecm:0.0000
etapa 4771000 0.00000022 ecm:0.0000
etapa 4771100 0.00000022 ecm:0.0000
etapa 4771200 0.00000022 ecm:0.0000
etapa 4771300 0.00000022 ecm:0.0000
etapa 4771400 0.00000022 ecm:0.0000
etapa 4771500 0.00000022 ecm:0.0000
etapa 4771600 0.00000022 ecm:0.0000
etapa 4771700 0.00000022 ecm:0.0000
etapa 4771800 0.00000022 ecm:0.0000
etapa 4771900 0.00000022 ecm:0.0000
etapa 4772000 0.00000022 ecm:0.0000
etapa 4772100 0.00000022 ecm:0.0000
etapa 4772200 0.00000022 ecm:0.0000
etapa 4772300 0.00000022 ecm:0.0000
etapa 4772400 0.00000022 ecm:0.0000
etapa 4772500 0.00000022 ecm:0.0000
etapa 4772600 0.00000022 ecm:0.0000
etapa 4772700 0.00000022 ecm:0.0000
etapa 4772800 0.00000022 ecm:0.0000
etapa 4772900 0.00000022 ecm:0.0000
etapa 4773000 0.00000022 ecm:0.0000
etapa 4773100 0.00000022 ecm:0.0000
etapa 4773200 0.00000022 ecm:0.0000
etapa 4773300 0.00000022 ecm:0.0000
etapa 4773400 0.00000022 ecm:0.0000
etapa 4773500 0.00000022 ecm:0.0000
etapa 4773600 0.00000022 ecm:0.0000
etapa 4773700 0.00000022 ecm:0.0000
etapa 4773800 0.00000022 ecm:0.0000
etapa 4773900 0.00000022 ecm:0.0000
etapa 4774000 0.00000022 ecm:0.0000
etapa 4774100 0.00000022 ecm:0.0000
etapa 4774200 0.00000022 ecm:0.0000
etapa 4774300 0.00000022 ecm:0.0000
etapa 4774400 0.00000022 ecm:0.0000
etapa 4774500 0.00000022 ecm:0.0000
etapa 4774600 0.00000022 ecm:0.0000
etapa 4774700 0.00000022 ecm:0.0000
etapa 4774800 0.00000022 ecm:0.0000
etapa 4774900 0.00000022 ecm:0.0000
etapa 4775000 0.00000022 ecm:0.0000
etapa 4775100 0.00000022 ecm:0.0000
etapa 4775200 0.00000022 ecm:0.0000
etapa 4775300 0.00000022 ecm:0.0000
etapa 4775400 0.00000022 ecm:0.0000
etapa 4775500 0.00000022 ecm:0.0000
etapa 4775600 0.00000022 ecm:0.0000
etapa 4775700 0.00000022 ecm:0.0000
etapa 4775800 0.00000022 ecm:0.0000
etapa 4775900 0.00000022 ecm:0.0000
etapa 4776000 0.00000022 ecm:0.0000
etapa 4776100 0.00000022 ecm:0.0000
etapa 4776200 0.00000022 ecm:0.0000
etapa 4776300 0.00000022 ecm:0.0000
etapa 4776400 0.00000022 ecm:0.0000
etapa 4776500 0.00000022 ecm:0.0000
etapa 4776600 0.00000022 ecm:0.0000
etapa 4776700 0.00000022 ecm:0.0000
etapa 4776800 0.00000022 ecm:0.0000
etapa 4776900 0.00000022 ecm:0.0000
etapa 4777000 0.00000022 ecm:0.0000
etapa 4777100 0.00000022 ecm:0.0000
etapa 4777200 0.00000022 ecm:0.0000
etapa 4777300 0.00000022 ecm:0.0000
etapa 4777400 0.00000022 ecm:0.0000
etapa 4777500 0.00000022 ecm:0.0000
etapa 4777600 0.00000022 ecm:0.0000
etapa 4777700 0.00000022 ecm:0.0000
etapa 4777800 0.00000022 ecm:0.0000
etapa 4777900 0.00000022 ecm:0.0000
etapa 4778000 0.00000022 ecm:0.0000
etapa 4778100 0.00000022 ecm:0.0000
etapa 4778200 0.00000022 ecm:0.0000
etapa 4778300 0.00000022 ecm:0.0000
etapa 4778400 0.00000022 ecm:0.0000
etapa 4778500 0.00000022 ecm:0.0000
etapa 4778600 0.00000022 ecm:0.0000
etapa 4778700 0.00000022 ecm:0.0000
etapa 4778800 0.00000022 ecm:0.0000
